English_Word,Hebrew_Translation,Part_of_Speech,Amirnet_Level
abbreviate,לקצר,Verb,2
abdomen,בטן,Noun,1
ability,יכולת,Noun,1
abnormal,לא נורמלי,Adjective,2
abolish,לבטל,Verb,3
absolute,מוחלט,Adjective,2
absorb,לספוג,Verb,2
abstract,"מופשט, תקציר",Multi,3
absurd,אבסורד,Noun,2
abundant,בשפע,Adjective,2
abuse,לנצל לרעה,Multi,2
accelerate,להאיץ,Verb,2
access,גישה,Multi,2
accommodate,"להכיל, לאכסן",Verb,3
accomplish,"להשיג, לבצע",Verb,2
accountable,אחראי,Adjective,3
accumulate,לצבור,Verb,3
accuracy,דיוק,Noun,2
accurate,מדויק,Adjective,2
accuse,האשים,Verb,1
achieve,להשיג,Verb,1
achievement,השג,Noun,2
acknowledge,"להכיר, להודות",Verb,3
acknowledgment,הכרה,Noun,3
acquire,לרכוש,Verb,2
acquisition,רכישה,Noun,3
acute,"חמור, קריטי",Adjective,3
adapt,להתאים,Verb,2
addiction,התמכרות,Noun,2
adequate,"מספיק, הולם",Adjective,3
adhere,לדבוק,Verb,3
adjust,"להתאים, לכוון",Verb,2
administer,לנהל,Verb,3
administration,ניהול,Noun,2
admittedly,מוסכם,Adverb,3
adolescence,גיל ההתבגרות,Noun,2
adopt,לאמץ,Verb,2
adversary,יריב,Noun,3
advocate,"לדגול, סנגור",Multi,3
affect,להשפיע,Verb,1
afflict,לייסר,Verb,3
agenda,סדר יום,Noun,2
aggregate,"מצרפי, לצבור",Multi,3
aggression,תוקפנות,Noun,2
aggressive,תוקפני,Adjective,2
agile,זריז,Adjective,2
aid,"סיוע, לסייע",Multi,2
albeit,אף על פי כן,Conjunction,3
allegation,טענה,Noun,3
allegedly,לכאורה,Adverb,3
alleviate,הקל,Verb,3
alliance,ברית,Noun,2
allocate,להקצות,Verb,3
allocation,הקצבה,Noun,3
ally,בעל ברית,Noun,2
alter,לשנות,Verb,3
alternative,חלופה,Noun,2
alternatively,לחלופין,Adverb,2
ambiguity,עמימות,Noun,3
ambiguous,"עמום, דו-משמעי",Adjective,3
ambition,שאיפה,Noun,2
ambitious,שאפתן,Adjective,2
ambivalence,אמביוולנטיות,Noun,3
ambivalent,"סותר, אמביוולנטי",Adjective,3
amplify,הגביר,Verb,3
analogous,אנלוגי,Adjective,3
analogy,"אנלוגיה, דמיון",Noun,3
analysis,אנליזה,Noun,2
analytical,אנליטי,Adjective,2
analyze,לנתח,Verb,2
ancestor,אב קדמון,Noun,2
ancient,עתיק,Adjective,1
animosity,איבה,Noun,3
annotate,להוסיף הערות,Verb,3
annual,חד-שנתי (צמח),Noun,2
annually,מדי שנה בשנה,Adverb,2
antagonist,יריב,Noun,3
anticipate,לצפות מראש,Verb,3
anxiety,חרדה,Noun,2
apathy,אפתיה,Noun,3
apparent,"ברור, לכאורה",Adjective,3
apparently,כפי הנראה,Adverb,3
apprehend,לכד,Verb,3
approach,"גישה, להתקרב",Multi,2
appropriate,מתאים,Adjective,2
appropriately,באופן הולם,Adverb,2
approve,הסכים,Verb,1
approximate,"משוער, לקרב",Multi,3
approximately,בקרוב,Adverb,2
arbitrary,שרירותי,Adjective,3
arduous,מפרך,Adjective,3
area,"אזור, תחום",Noun,1
arrest,עצר,Verb,1
arrogant,יהיר,Adjective,2
articulate,דיבר בהטעמה,Verb,3
ascertain,לוודא,Verb,3
ascribe,לייחס,Verb,3
aspect,הבט,Noun,2
assert,לטעון בתקיפות,Verb,3
assertion,טענה,Noun,3
assertive,נחרץ,Adjective,3
assess,"להעריך, לאמוד",Verb,3
assessment,הערכה,Noun,2
asset,נכס,Noun,2
assign,"לשייך, למנות",Verb,2
assignment,משימה,Noun,2
assimilate,להיטמע,Verb,3
assist,סיוע,Noun,2
assistance,סיוע,Noun,2
assume,להניח,Verb,2
assumption,הנחה,Noun,3
assure,להבטיח,Verb,2
astute,פקח,Adjective,3
atrocity,זועה,Noun,3
attach,חבר,Verb,2
attain,להשיג,Verb,3
attempt,נסה,Verb,1
attitude,עמדה,Noun,2
attribute,"לייחס, תכונה",Multi,3
audacious,נועז,Adjective,3
augment,,Noun,3
authentic,"אמיתי, מקורי",Adjective,2
authenticate,אשר,Verb,3
author,כתב,Verb,1
authority,"סמכות, רשות",Noun,2
autonomous,אוטונומי,Adjective,3
